onset	duration	sample	trial_type	value	Event	Condition	Run
0.4980000000	64594.0000000000	-0.5	n/a	xboundary	n/a	n/a	n/a
20550.9980000000	1.0000000000	20550	n/a	x11	Start_Resting	Open	1
50800.9980000000	1.0000000000	50800	n/a	x12	Start_Resting	Closed	1
81051.9980000000	1.0000000000	81051	n/a	x11	Start_Resting	Open	1
111300.9980000000	1.0000000000	111300	n/a	x12	Start_Resting	Closed	1
141542.9980000000	1.0000000000	141542	n/a	x11	Start_Resting	Open	1
171792.9980000000	1.0000000000	171792	n/a	x12	Start_Resting	Closed	1
202043.9980000000	1.0000000000	202043	n/a	x11	Start_Resting	Open	1
232292.9980000000	1.0000000000	232292	n/a	x12	Start_Resting	Closed	1
