onset	duration	sample	trial_type	value	Event	Condition	Run
0.4980000000	4553664.0000000000	-0.5	n/a	xboundary	n/a	n/a	n/a
9984.9980000000	1.0000000000	9984	n/a	x32	Start_Resting	Closed	3
40233.9980000000	1.0000000000	40233	n/a	x31	Start_Resting	Open	3
70483.9980000000	1.0000000000	70483	n/a	x32	Start_Resting	Closed	3
100734.9980000000	1.0000000000	100734	n/a	x31	Start_Resting	Open	3
130983.9980000000	1.0000000000	130983	n/a	x32	Start_Resting	Closed	3
161233.9980000000	1.0000000000	161233	n/a	x31	Start_Resting	Open	3
191483.9980000000	1.0000000000	191483	n/a	x32	Start_Resting	Closed	3
221734.9980000000	1.0000000000	221734	n/a	x31	Start_Resting	Open	3
