values,cards,winlose,winlosecolor,MoneyTrigger,ChoiceTrigger,FeedbackTrigger,TrialPractice.thisRepN,TrialPractice.thisTrialN,TrialPractice.thisN,TrialPractice.thisIndex,Trial.thisRepN,Trial.thisTrialN,Trial.thisN,Trial.thisIndex,example2.started,example2.stopped,jitter,Fixation_prac.started,Fixation_prac.stopped,Money_prac.started,Money_prac.stopped,Choice_prac.started,Choice_prac.stopped,choice_prac.keys,choice_prac.rt,FeedbackSlide_prac.started,FeedbackSlide_prac.stopped,Fixation.started,Fixation.stopped,Money.started,Money.stopped,Choice.started,Choice.stopped,choice_resp.keys,choice_resp.rt,choice_resp.started,choice_resp.stopped,Square1.started,Square1.stopped,Square2.started,Square2.stopped,MoneyWon,FeedbackSlide.started,FeedbackSlide.stopped,square5.started,square5.stopped,square4.started,square4.stopped,Break_Text.started,Break_Text.stopped,Key_Response_Break.keys,Key_Response_Break.rt,text_2.started,text_2.stopped,participant,session,EEGPort,LogFilesFolder,date,expName,psychopyVersion,frameRate,
10,5,x,#ed1c24,19,15,110,,,,,0,2,2,166,,,3.4844639108904802,,,,,,,,,,,218.74756489410174,222.23385417806094,222.21717256135707,222.7175986009679,222.7175986009679,None,2,2.247453899188258,222.7175986009679,None,222.21717256135707,222.7175986009679,222.7175986009679,None,940,226.98790695096613,None,225.00288703459773,227.00457689934774,226.98790695096613,None,None,None,None,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1043,Gambling,2020.1.3,59.94392199733289,
50,6,o,#3ced1d,59,56,251,,,,,0,3,3,224,,,3.6132297241621822,,,,,,,,,,,228.02211963822447,231.64185543823987,231.62518665669086,232.12560131968712,232.12560131968712,None,2,2.023249131803823,232.12560131968712,None,231.62518665669086,232.12560131968712,232.12560131968712,None,990,236.17904981936044,None,234.19404098789892,236.19572997752402,236.17904981936044,None,None,None,None,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1043,Gambling,2020.1.3,59.94392199733289,
50,3,o,#3ced1d,59,53,251,,,,,0,4,4,216,,,2.853191566438645,,,,,,,,,,,237.21326454857444,240.0656882778585,240.0490069528605,240.54943474272113,240.54943474272113,None,4,2.88322634940414,240.54943474272113,None,240.0490069528605,240.54943474272113,240.54943474272113,None,1040,245.43692353019287,None,243.4519024469937,245.45360456348135,245.43692353019287,None,None,None,None,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1043,Gambling,2020.1.3,59.94392199733289,
0,4,o,#3ced1d,9,4,101,,,,,0,5,5,7,,,3.7523367366485303,,,,,,,,,,,246.45445985149126,250.20764916855842,250.19096901039484,250.6913932997577,250.6913932997577,None,2,2.1310685120115522,250.6913932997577,None,250.19096901039484,250.6913932997577,250.6913932997577,None,1040,254.8282452156236,None,252.8432258826724,254.84492654061978,254.8282452156236,None,None,None,None,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1043,Gambling,2020.1.3,59.94392199733289,
10,4,x,#ed1c24,19,14,110,,,,,0,6,6,53,,,3.1758225648219565,,,,,,,,,,,255.82910021192583,259.01514139818573,258.9817790399011,259.4822039126793,259.4822039126793,None,4,2.4300628484998015,259.4822039126793,None,258.9817790399011,259.4822039126793,259.4822039126793,None,1030,263.935995169315,None,261.9509831290652,263.9526721186903,263.935995169315,None,None,None,None,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1043,Gambling,2020.1.3,59.94392199733289,
10,4,o,#3ced1d,19,14,111,,,,,0,7,7,49,,,3.9849563043331715,,,,,,,,,,,264.9702078565733,268.95693047284476,268.94025964933826,269.4406772294151,269.4406772294151,None,4,2.0423863468968193,269.4406772294151,None,268.94025964933826,269.4406772294151,269.4406772294151,None,1040,273.5108050121271,None,271.52579209675423,273.52748692054047,273.5108050121271,None,None,None,None,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1043,Gambling,2020.1.3,59.94392199733289,
10,4,x,#ed1c24,19,14,110,,,,,0,8,8,55,,,3.5921422680958326,,,,,,,,,,,274.5450276174597,278.14808325931153,278.13140426798054,278.6318270988031,278.6151472323472,None,4,1.3987296114300989,278.6151472323472,None,278.13140426798054,278.6318270988031,278.6151472323472,None,1030,282.0347228846422,None,280.04970763560414,282.0514015842655,282.0347228846422,None,None,None,None,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1043,Gambling,2020.1.3,59.94392199733289,
10,3,x,#ed1c24,19,13,210,,,,,0,9,9,214,,,4.446322975258056,,,,,,,,,,,283.06894198947884,287.5227230363307,287.50604200304224,288.00646891777797,288.00646891777797,None,4,1.7702081482802896,288.00646891777797,None,287.50604200304224,288.00646891777797,288.00646891777797,None,1020,291.79302292679495,None,289.8080009684709,291.8097060020391,291.79302292679495,None,None,None,None,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1043,Gambling,2020.1.3,59.94392199733289,
0,5,x,#ed1c24,9,5,100,,,,,0,10,10,120,,,2.7689761241691353,,,,,,,,,,,292.8273079576502,295.5962565105583,295.5795766441024,296.08000239200555,296.08000239200555,None,4,3.097464911168572,296.08000239200555,None,295.5795766441024,296.08000239200555,296.08000239200555,None,1020,301.18434548734876,None,299.1993223621939,301.20102535380465,301.18434548734876,None,None,None,None,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1043,Gambling,2020.1.3,59.94392199733289,
50,5,x,#ed1c24,59,55,150,,,,,0,11,11,194,,,2.7844694910550527,,,,,,,,,,,302.1852077763524,304.97089949636575,304.9542164211216,305.4546459612284,305.4546459612284,None,4,1.524652685098772,305.4546459612284,None,304.9542164211216,305.4546459612284,305.4546459612284,None,970,308.9909850543372,None,307.00596309601497,309.0076660876257,308.9909850543372,None,None,None,None,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1043,Gambling,2020.1.3,59.94392199733289,
0,5,x,#ed1c24,9,5,100,,,,,0,12,12,128,,,2.527376809817571,,,,,,,,,,,310.0085295434619,312.5440080978151,312.51064603123814,313.0110723625585,313.0110723625585,None,4,2.1020724398604216,313.0110723625585,None,312.51064603123814,313.0110723625585,313.0110723625585,None,970,317.11455987818226,None,315.12954258718855,317.1312435368436,317.11455987818226,None,None,None,None,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1043,Gambling,2020.1.3,59.94392199733289,
10,5,o,#3ced1d,19,15,111,,,,,0,13,13,149,,,4.342870936741436,,,,,,,,,,,318.1154131242365,322.46911701431054,322.4357552394413,322.9361806956367,322.9361806956367,None,4,2.129731905713925,322.9361806956367,None,322.4357552394413,322.9361806956367,322.9361806956367,None,980,327.0897148116219,None,325.1047016045395,327.106395261495,327.0897148116219,None,None,None,None,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1043,Gambling,2020.1.3,59.94392199733289,
10,5,x,#ed1c24,19,15,110,,,,,0,14,14,153,,,3.647166130168899,,,,,,,,,,,328.1239289574205,331.77703528354687,331.74367234184683,332.24409808974997,332.24409808974997,None,4,1.712628187457085,332.24409808974997,None,331.74367234184683,332.24409808974997,332.24409808974997,None,970,335.9806326272537,None,333.99559608352683,335.9972909073149,335.9806326272537,None,None,None,None,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1043,Gambling,2020.1.3,59.94392199733289,
10,7,o,#3ced1d,19,17,211,,,,,0,15,15,229,,,3.1300678634846935,,,,,,,,,,,337.0148178939562,340.1508229813444,340.1341436983039,340.6345697379147,340.6345697379147,None,2,1.4309855210703972,340.6345697379147,None,340.1341436983039,340.6345697379147,340.6345697379147,None,980,344.08750541483096,None,342.102491040916,344.10418615641174,344.08750541483096,None,None,None,None,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1043,Gambling,2020.1.3,59.94392199733289,
10,5,o,#3ced1d,19,15,111,,,,,0,16,16,150,,,3.7339936684277157,,,,,,,,,,,345.12172247771014,348.8582325117368,348.8415508950329,349.34197664293606,349.34197664293606,None,4,1.5783847250004328,349.34197664293606,None,348.8415508950329,349.34197664293606,349.34197664293606,None,990,352.9283617529909,None,350.94333600246136,352.9450404526142,352.9283617529909,None,None,None,None,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1043,Gambling,2020.1.3,59.94392199733289,
50,4,o,#3ced1d,59,54,151,,,,,0,17,17,79,,,4.408408639354576,,,,,,,,,,,353.9459039084504,358.3663182213968,358.34964448081155,358.85006351942866,358.85006351942866,None,4,1.2601023603565409,358.85006351942866,None,358.34964448081155,358.85006351942866,358.85006351942866,None,1040,362.119510747254,None,360.134487038682,362.1361914888348,362.119510747254,None,None,None,None,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1043,Gambling,2020.1.3,59.94392199733289,
10,5,o,#3ced1d,19,15,111,,,,,0,18,18,139,,,2.8136610330902183,,,,,,,,,,,363.13704298463927,365.95610639759434,365.9227449144346,366.4231712457531,366.4231712457531,None,2,2.180818445282057,366.4231712457531,None,365.9227449144346,366.4231712457531,366.4231712457531,None,1050,370.61006596977677,None,368.6250527626944,370.62674612794035,370.61006596977677,None,None,None,None,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1043,Gambling,2020.1.3,59.94392199733289,
10,5,x,#ed1c24,19,15,110,,,,,0,19,19,169,,,4.451508619397061,,,,,,,,,,,371.6275996657023,376.0813871301325,376.04802418843246,376.54845139487406,376.54845139487406,None,2,1.2543376258163335,376.54845139487406,None,376.04802418843246,376.54845139487406,376.54845139487406,None,1040,379.8345781974476,None,377.84956732403043,379.8512592307361,379.8345781974476,None,None,None,None,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1043,Gambling,2020.1.3,59.94392199733289,
