Bitte Teilen Sie nun den Betrag von 10 Credits auf, wie Sie ihn aufteilen würden, wenn der/die Empfänger/in darüber entscheiden kann, ob die Aufteilung zugeteilt wird.
Dabei haben Sie nur eine Aufteilung des Betrages, bis der/die Empfänger/in endgültig darüber entscheidet.
Dieses Angebot wird jedem/r Empfänger/in nur einmal vorgelegt.

Se können drei verschiedene Angebote machen:
(1) Sie bieten 1, und behalten 9 Credits.
(2) Sie bieten 5, und behalten 5 Credits.
(3) Sie bieten 3, und behalten 7 Credits.

Sie wählen Ihr Angebot mit der entsprechenden Taste (1, 2, 3) auf der Tastatur.

,Offer2,5,5,2,,,,,,,,,,,,,3,0,9,1,,,,,,,,,,,,,0.6025941698985257,369.7660111153382,None,5_5_V2.png,,,,,,,,,,,25,370.38320523352013,None,4,0.6041097344968875,370.38320523352013,None,370.38320523352013,None,None,None,371.0003993517021,None,371.0003993517021,None,None,None,None,None,None,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
,Offer3,3,7,3,,,,,,,,,,,,,3,1,10,2,,,,,,,,,,,,,0.590750063430382,372.00126048116,None,7_3_V2.png,,,,,,,,,,,28,372.60177809230663,None,4,1.1184957305267744,372.60177809230663,None,372.60177809230663,None,None,None,373.75276279034006,None,373.75276279034006,None,None,None,None,None,None,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
,Offer1,1,9,1,,,,,,,,,,,,,3,2,11,0,,,,,,,,,,,,,0.5011290681721137,374.753627420323,None,9_1_V2.png,,,,,,,,,,,28,375.254096782548,None,2,0.6731573229844798,375.254096782548,None,375.254096782548,None,None,None,375.95465359959053,None,375.95465359959053,None,None,None,None,None,None,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
,Offer1,1,9,1,,,,,,,,,,,,,4,0,12,0,,,,,,,,,,,,,0.6917088346682694,376.9555182295735,None,9_1_V2.png,,,,,,,,,,,28,377.6561363058245,None,2,1.3690698168284143,377.6561363058245,None,377.6561363058245,None,None,None,379.04063965116075,None,379.04063965116075,None,None,None,None,None,None,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
,Offer2,5,5,2,,,,,,,,,,,,,4,1,13,1,,,,,,,,,,,,,0.6649231416917482,380.0415028225907,None,5_5_V2.png,,,,,,,,,,,33,380.70874133911275,None,4,0.3624602398558636,380.70874133911275,None,380.70874133911275,None,None,None,381.1090845657127,None,381.1090845657127,None,None,None,None,None,None,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
,Offer1,1,9,1,,,,,,,,,,,,,4,2,14,0,,,,,,,,,,,,,0.6948649880389824,382.10994511174795,None,9_1_V2.png,,,,,,,,,,,33,382.8105474356307,None,2,0.8696016051108018,382.8105474356307,None,382.8105474356307,None,None,None,383.71131685129876,None,383.71131685129876,None,None,None,None,None,None,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
,Offer3,3,7,3,,,,,,,,,,,,,5,0,15,2,,,,,,,,,,,,,0.5742449063380226,384.712179731021,None,7_3_V2.png,,,,,,,,,,,36,385.29601529263164,None,4,0.633104593387543,385.29601529263164,None,385.29601529263164,None,None,None,385.9632508920513,None,385.9632508920513,None,None,None,None,None,None,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
,Offer3,3,7,3,,,,,,,,,,,,,5,1,16,2,,,,,,,,,,,,,0.6840304628276409,386.9641131883509,None,7_3_V2.png,,,,,,,,,,,39,387.648035796381,None,4,0.8160546385443013,387.648035796381,None,387.648035796381,None,None,None,388.48208168127894,None,388.48208168127894,None,None,None,None,None,None,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
,Offer3,3,7,3,,,,,,,,,,,,,5,2,17,2,,,,,,,,,,,,,0.5797015303874253,389.4829410604725,None,7_3_V2.png,,,,,,,,,,,42,390.0667812894535,None,4,0.5012873185260105,390.0667812894535,None,390.0667812894535,None,None,None,390.5838869026629,None,390.5838869026629,None,None,None,None,None,None,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
,Offer2,5,5,2,,,,,,,,,,,,,6,0,18,1,,,,,,,,,,,,,0.6158300322848899,391.58474686527916,None,5_5_V2.png,,,,,,,,,,,47,392.2019476928035,None,4,0.30709299964655656,392.2019476928035,None,392.2019476928035,None,None,None,392.5355630129743,None,392.5355630129743,None,None,None,None,None,None,,,,,,AU06EL20,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1210,UltimatumGame,2020.1.3,59.95977093874615,
