"ID","BISBAS_BAS","RSTPQ_BAS","BISBAS_Drive","BISBAS_Reward_Responsiveness","BISBAS_Fun_seeking","Z_Score_MPQ","Z_Score_BFI","Z_Score_notWeighted","Z_Score_ItemNr","Z_Score_Reliability","AGG_Anger","WHO5_Depression","BFI_Open-Mindedness","BFI_Conscientiousness","BFI_Agreeableness","BFI_Negative_Emotionality","Gender","Age","PCA_FirstFactor","FactorAnalysis_F2","FactorAnalysis_F1","FactorAnalysis_F5","FactorAnalysis_F4","FactorAnalysis_F3","FactorAnalysis_F6"
"sub-AA06WI11",3.38461538461538,96,3,4,3,-0.407146982309006,-0.710900560392248,0.00427516374661871,0.0915363405107373,-0.00492901028172039,18,17,2.66666666666667,2.66666666666667,3.75,3.41666666666667,1,19,"0.472227151502438","-0.117163583928523","-0.065779473136667","0.0302640275112975","-0.883415168950336","1.21954934386274","1.04423516141494"
"sub-AG04EN28",2.92307692307692,88,3.5,3,2.25,0.111468004584331,-0.876281694063451,-0.364951043096322,-0.236434459299129,-0.314837048899977,11,17,3.66666666666667,3.58333333333333,3.58333333333333,2.41666666666667,2,24,"-1.62699948427354","1.27674830115138","-0.297825197793432","-1.38424105862775","-0.446816791835218","-0.784483811473354","0.0817631632146459"
"sub-AG05AS29",3.15384615384615,103,3.25,3.4,2.75,0.676561267974813,1.19471406074512,0.563346818359066,0.690052767926946,0.613286104367974,12,22,3,3.33333333333333,4,1.66666666666667,2,20,"3.15027675652473","0.917621444317198","1.42846022106211","-0.381809026774815","1.19778856987976","0.0356784510975798","0.404831928321481"
"sub-AH07IF27",3.46153846153846,112,3.5,3.8,3,0.715410999275813,0.835144409818003,0.863421397727573,1.10455064433604,0.884279271660026,18,18,4.5,2.91666666666667,2.25,3.75,2,23,"4.65100809500871","1.13320674459188","-0.145192403719421","1.48725830874245","1.67382912496664","0.938373795969899","0.457304378525713"
"sub-AH17AR05",3.07692307692308,100,3,3,3.25,0.0709225058738137,0.17361987513319,0.0908128752778659,0.267946309278032,0.102265380448991,13,23,3.66666666666667,4,3.75,2.08333333333333,2,23,"1.51059124148921","-0.385357422797683","0.695646655984444","0.921925667112786","0.553975634803968","0.308105186337634","-0.750963767991671"
"sub-AHSAER12",3.53846153846154,97,3.5,3.4,3.75,-0.221166981905726,-0.487904659551622,0.271150136038273,0.297649418210986,0.2309873137202,13,18,4,2.91666666666667,3.41666666666667,2.41666666666667,2,28,"1.19589261004138","-0.0854555397786358","0.00639735858579303","1.21787779308673","-0.760355300759691","0.211895843818075","0.873589051974768"
"sub-AI07AS19",2.69230769230769,77,2.75,3.4,1.75,-0.367279790562296,-1.0272591359423,-0.85828179875661,-0.858396464023533,-0.82792777244787,11,21,3.66666666666667,4.33333333333333,3.91666666666667,3.58333333333333,1,23,"-4.31605294814894","0.355596793754683","-0.209071237740967","-3.40852261214296","-1.1374730272344","-0.635294811423402","0.705607636555206"
"sub-AK04IO21",2.92307692307692,73,3.5,2.6,2.75,-0.912948188302278,-0.905089077648163,-0.798495291769613,-1.0508549286403,-0.810466015862032,14,14,3.25,4.5,3.58333333333333,3.41666666666667,1,21,"-3.81352600061773","1.27528531439663","-2.29861015760555","-0.684348760020477","-0.927268715565659","-1.15879474858531","-1.39139645675856"
"sub-AK05AN22",3.53846153846154,95,3.75,3.6,3.25,0.562959364936011,0.518785834267953,0.682184353069733,0.632951947637326,0.678234316310741,11,26,3.83333333333333,3.66666666666667,4.33333333333333,2.41666666666667,1,28,"2.73565966296084","0.849000730508906","0.832518782450167","0.566360844810212","0.682712480572496","0.463286273401413","0.301653189453743"
"sub-AK06AS07",3.23076923076923,104,3.25,3.2,3.25,1.18836214616941,0.863951793402715,0.738509617441137,0.926063089107067,0.774380938757224,11,22,4,3.5,4.66666666666667,1.91666666666667,1,27,"3.26458655790604","0.947901814035405","1.22897408923747","0.859437265174167","0.5818211153402","0.514811767244283","-0.589102949856605"
"sub-AK06RG17",2.53846153846154,71,2,2.6,3,-1.36532087956607,-2.07716070513894,-1.5381181584563,-1.56024826265147,-1.57321644616651,15,11,3,3,3.75,3.08333333333333,2,24,"-6.92381491202261","-1.61218424553765","-1.77327084376955","-1.81676255440886","-1.56242808077078","-1.41293469521273","-0.101808634609425"
"sub-AL07NK06",2.53846153846154,74,2,2.8,2.75,0.0172909671960287,1.02933292707392,-0.48110731914998,-0.708501990276548,-0.480737224299217,9,17,4.33333333333333,4,4.16666666666667,2.75,2,29,"-2.27672838259747","-1.08264163177094","-0.253688404530641","-0.568410152069032","0.861302433312764","-1.10105831946075","-0.747105492502135"
"sub-AL08AS02",2.76923076923077,78,2.75,3.4,2,-1.09879205917196,-0.502308351343978,-0.890242039965932,-1.00583753761098,-0.88538631119744,10,14,3.08333333333333,4.08333333333333,4,2.83333333333333,1,25,"-3.47774967048274","-0.518996126895393","-0.316932173691531","-1.65508336275083","-1.51568454126013","-0.284746835428184","0.568371444662619"
"sub-AM04EN20",2.30769230769231,60,2.25,2.4,2.25,-0.826466590524822,-1.0272591359423,-1.48139030872155,-1.68782427993625,-1.4689717974625,7,18,3.33333333333333,3.41666666666667,4.41666666666667,1.75,2,23,"-6.9225065795416","-1.45953365504685","-0.257377032366874","-1.96827123902907","-1.20146782675724","-1.9821025062149","-1.08467345832682"
"sub-AN03EU29",2.84615384615385,88,2.5,3,3,-0.634350788386611,0.353404700596749,-0.405316320693821,-0.426973656058445,-0.418082904135222,13,12,3.41666666666667,2.33333333333333,4.25,3.5,1,22,"-0.856087651973102","-1.94085252249053","-0.457215199333028","0.277007737101957","0.768009762221632","0.997447388356619","-1.64873825610088"
"sub-AN04AD03",3.84615384615385,106,4,3.8,3.75,0.0842115697893838,0.849548101610359,0.987784608445033,0.944772392104548,0.956848044395997,14,15,3.91666666666667,4.16666666666667,3.66666666666667,1.33333333333333,2,23,"4.69724306533328","0.728525751223336","0.426563729169687","0.952483385925525","1.15666509120884","1.47975510702311","0.900773607509972"
"sub-AN04ES31",3.38461538461538,85,3,3.8,3.25,0.690189485372287,0.00823874146198723,0.386508030991064,0.26406536754761,0.376092540137831,13,20,3.83333333333333,4.33333333333333,3.83333333333333,3,1,22,"0.291924233634689","0.344343876791105","0.696230348215525","-0.144896927771431","-0.396437536473812","-0.113572350071903","0.939538915623914"
"sub-AN08AT08",3,90,2.75,3.2,3,-0.134143206698064,0.0226424332543429,-0.16447487688397,-0.143214328248706,-0.154365761085558,9,24,4.08333333333333,3.91666666666667,3.75,2.16666666666667,1,26,"-0.290129631591386","-0.451085501369749","0.837459907551012","-0.215906392969883","-0.778015300048986","0.0143934253823846","-0.243692606335512"
"sub-AR06AS06",3.61538461538462,89,3.75,3.8,3.25,0.283819787590138,0.518785834267953,0.614540102910413,0.406848494686285,0.589304098968258,19,14,2.25,4.33333333333333,3.5,3.75,2,26,"1.61863546794499","0.389581319459714","-0.426795781543777","0.194659898865585","0.980846511236797","0.983077014200807","0.537633914709853"
"sub-AR07AN21",2.84615384615385,81,3.25,3,2.25,0.437288882375651,0.518785834267953,-0.120291851995513,-0.249913656501153,-0.0800625877124815,14,23,4.5,4.83333333333333,3.75,2.83333333333333,1,21,"-0.791284642515646","1.9832038836568","0.178609364040772","-1.02262805145872","-0.382533696233395","-1.42721094439712","-0.56560769274386"
"sub-AR07IM16",3.53846153846154,92,2.75,3.8,4,-0.267984411884774,0.655359584354444,0.439956939920358,0.223499735899473,0.379626993718853,22,9,3.5,3,4.66666666666667,3.66666666666667,2,24,"1.17592427720013","-0.296536121493546","-0.989923047237247","0.92265012929782","0.734383971901426","0.674528877104667","0.864258607964652"
"sub-AR07SA26",3.76923076923077,72,3.75,3.6,4,-1.03950000177475,-0.876281694063451,-0.0571260826839682,-0.586842382191771,-0.171119574952781,15,10,3.25,3.25,4.08333333333333,2.91666666666667,2,27,"-1.95725264124893","-0.144540407453646","-2.54252106937564","0.688655274084294","-0.801420650868299","0.250234044103007","0.258955016998706"
"sub-AR10IO04",3.53846153846154,94,3.25,3.6,3.75,-0.354193750595028,-0.84747431047874,0.130659438632223,0.160264470101164,0.0887214143451194,16,17,3.5,3.83333333333333,3.16666666666667,2.66666666666667,1,20,"0.518312797705352","-0.473260204460558","0.818564222869451","0.400991727532224","-1.12746020483637","0.322808163443811","1.02314785841526"
"sub-AS06AR20",3.38461538461538,109,3.5,3.4,3.25,0.357215345400327,0.87835548519507,0.675178203814027,0.853729387275077,0.692299494032663,12,21,3.83333333333333,3.5,4.58333333333333,1.91666666666667,2,22,"3.9076270405829","0.00569923716748887","1.11296605522619","0.817677264251207","0.792375182417711","1.46565772876711","-0.23927583377565"
"sub-AS06FR30",3.61538461538462,105,3.75,3.8,3.25,-0.168010726243445,1.22352144432983,0.759672819964057,0.684773471151072,0.735301904005006,25,12,4.5,3.83333333333333,3.08333333333333,4.33333333333333,1,26,"3.91974376054177","1.50045721662574","-0.985582360144975","1.21116322755193","0.593478699414838","0.690886450530037","0.358990773338543"
"sub-AT05LI18",2.92307692307692,78,2.5,3.2,3,-0.626519219242164,-0.998451752357588,-0.692174204794749,-0.764934834875483,-0.716575588115733,9,22,2.75,3.83333333333333,4.08333333333333,1.58333333333333,2,21,"-3.52338313099679","-0.919926736529767","0.507500111351352","-1.0441062165518","-1.72738038313426","-0.646473284720188","0.412099038891879"
"sub-AT06ED25",3.61538461538462,108,4,3.4,3.5,0.989093081850563,1.02933292707392,1.10190670219317,1.19576027785507,1.12218162622916,18,18,4.16666666666667,4.66666666666667,4.33333333333333,3.08333333333333,1,19,"4.92378467937928","1.45052489080377","1.27589345519496","1.20911833166734","0.750583790382647","1.25748894337701","-0.409394751257228"
"sub-AU05IN13",2.76923076923077,73,2.5,2.6,3.25,0.257105530225397,0.655359584354444,-0.271716223078501,-0.563858048274959,-0.278087510239834,15,18,3.5,4,4.08333333333333,3.83333333333333,1,23,"-2.32664468869501","0.195307902553222","-1.32416437556156","-0.242365254089236","1.06425025142282","-1.62478452310053","-0.676988909539516"
"sub-AU06EL20",2.92307692307692,91,2.75,2.4,3.75,-0.0280337193218049,0.698570659731511,-0.0414059976276186,-0.0797738535781793,-0.0397015522418149,11,13,3.5,4.08333333333333,4.16666666666667,3,1,23,"0.343653879765389","-0.13887700216698","0.588262553585787","0.883939826810773","0.0127855754027092","-0.710223902009457","-1.77194357437567"
"sub-AU07ND25",3.07692307692308,88,3,3.4,2.75,0.356876191918423,-0.365734601257486,-0.0466163893569119,0.0290066222452235,-0.0218081578837172,10,24,2.58333333333333,3.91666666666667,3.83333333333333,2.08333333333333,2,23,"-0.445434322062419","0.0920693299358625","0.40557430207611","-0.283369254003844","0.54339028210969","-0.64446202813414","0.334513329536831"
