"ID","BISBAS_BAS","RSTPQ_BAS","BISBAS_Drive","BISBAS_Reward_Responsiveness","BISBAS_Fun_seeking","Z_Score_MPQ","Z_Score_BFI","Z_Score_notWeighted","Z_Score_ItemNr","Z_Score_Reliability","AGG_Anger","WHO5_Depression","BFI_Open-Mindedness","BFI_Conscientiousness","BFI_Agreeableness","BFI_Negative_Emotionality","Gender","Age","PCA_FirstFactor","FactorAnalysis_F2","FactorAnalysis_F1","FactorAnalysis_F5","FactorAnalysis_F4","FactorAnalysis_F3","FactorAnalysis_F6"
"sub-AA06WI11",3.38461538461538,96,3,4,3,-0.397956291843624,-0.698985673722949,0.00897203212150801,0.0991780595636384,0.00154585000874089,18,17,2.66666666666667,2.66666666666667,3.75,3.41666666666667,1,19,"0.499953772310827","-0.11458784266449","-0.0652761308566264","0.026139679115756","-0.90949773568696","1.22286574575863","1.03793843756648"
"sub-AG04EN28",2.92307692307692,88,3.5,3,2.25,0.121233735672608,-0.863208315748388,-0.361044541440885,-0.22846711860962,-0.307426450862344,11,17,3.66666666666667,3.58333333333333,3.58333333333333,2.41666666666667,2,24,"-1.59585122597692","1.28999958964091","-0.311099361940495","-1.37026217341473","-0.396754953338988","-0.736887514163679","-0.0560754655371037"
"sub-AG05AS29",3.15384615384615,103,3.25,3.4,2.75,0.683226082277854,1.19676052147977,0.564989205296086,0.695254615911854,0.617278724116383,12,22,3,3.33333333333333,4,1.66666666666667,2,20,"3.17953334382954","0.911118361220531","1.41246653098042","-0.388237057141004","1.20549386934559","0.0310038029513725","0.389626214802294"
"sub-AH07IF27",3.46153846153846,112,3.5,3.8,3,0.730086434118637,0.838549526454596,0.867875210239282,1.11254236761478,0.890115625595165,18,18,4.5,2.91666666666667,2.25,3.75,2,23,"4.73558950118708","1.11987724520311","-0.0844352864703047","1.52653577077936","1.63432776388815","0.868491160608942","0.626067472298774"
"sub-AH17AR05",3.07692307692308,100,3,3,3.25,0.0810373163219222,0.181658958352838,0.0971075754976553,0.27611080846566,0.107133644240254,13,23,3.66666666666667,4,3.75,2.08333333333333,2,23,"1.52596164609785","-0.428363417917449","0.691049249043729","0.923411927344846","0.592668589563875","0.325169821239125","-0.77305411569679"
"sub-AHSAER12",3.53846153846154,97,3.5,3.4,3.75,-0.212340338189906,-0.475231609748919,0.279369811149879,0.306627024279711,0.237040013593623,13,18,4,2.91666666666667,3.41666666666667,2.41666666666667,2,28,"1.22243416263302","-0.0756849166412086","-0.00616448038387417","1.29510746586691","-0.719968468897869","0.20698729774113","0.837894836326866"
"sub-AI07AS19",2.69230769230769,77,2.75,3.4,1.75,-0.355094299496899,-1.01254810228668,-0.855354436758147,-0.849498370476895,-0.81936715371241,11,21,3.66666666666667,4.33333333333333,3.91666666666667,3.58333333333333,1,23,"-4.27266333397619","0.374570427249717","-0.208665809497251","-3.43616636170125","-1.0876230686002","-0.568366210136884","0.645974146856126"
"sub-AK04IO21",2.92307692307692,73,3.5,2.6,2.75,-0.893656470181753,-0.892974026722683,-0.789163844248457,-1.03696759115527,-0.800800726699393,14,14,3.25,4.5,3.58333333333333,3.41666666666667,1,21,"-3.75759208057573","1.26885840939466","-2.30312155279063","-0.582102753100458","-0.84769352617359","-1.07310714398467","-1.63059701865758"
"sub-AK05AN22",3.53846153846154,95,3.75,3.6,3.25,0.571652682273671,0.524987097890865,0.687051777620089,0.640745778565531,0.683663325421571,11,26,3.83333333333333,3.66666666666667,4.33333333333333,2.41666666666667,1,28,"2.77724970529789","0.836117243164697","0.829649840450597","0.599987623116468","0.690727466017221","0.511854917326921","0.149482546351824"
"sub-AK06AS07",3.23076923076923,104,3.25,3.2,3.25,1.19593883765198,0.868315237428891,0.742937058824525,0.932579428326515,0.778216007823565,11,22,4,3.5,4.66666666666667,1.91666666666667,1,27,"3.30346008139888","0.915848544671896","1.23719682737731","0.872389675344269","0.602055839224063","0.513365936015853","-0.727166877926136"
"sub-AK06RG17",2.53846153846154,71,2,2.6,3,-1.3479467891866,-2.05741537638791,-1.52688371290528,-1.54628230474502,-1.56471619327447,15,11,3,3,3.75,3.08333333333333,2,24,"-6.91911265576841","-1.56171301779925","-1.74113866903593","-1.78855877016596","-1.53187765881944","-1.42631262067062","-0.136394232979985"
