OpenFirst.thisRepN,OpenFirst.thisTrialN,OpenFirst.thisN,OpenFirst.thisIndex,ClosedFirst.thisRepN,ClosedFirst.thisTrialN,ClosedFirst.thisN,ClosedFirst.thisIndex,Intro.started,Intro.stopped,text.started,text.stopped,cont.started,cont.stopped,text_3.started,text_3.stopped,sound_2.started,sound_2.stopped,blackback.started,blackback.stopped,text_4.started,text_4.stopped,flash.started,flash.stopped,sound_1.started,sound_1.stopped,participant,session,EEGPort,repetitionResting,LogFilesFolder,date,expName,frameRate,
0,0,0,0,,,,,3.0006843470919193,6.003229791560443,5.986560426594224,None,5.986560426594224,None,34.09384743960618,94.09530393791283,94.07859551323891,None,94.6123815482988,154.6300908524736,94.6123815482988,154.6300908524736,154.59674424642344,155.0137648278851,154.580060908642,None,AM04EN20b,1,0xC010,1,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1013,Resting,59.95105051654405,
1,0,1,0,,,,,,,,,,,155.0971752450714,215.09820964182654,215.08152922112566,None,215.61531613130956,275.63302485206805,215.61531613130956,275.63302485206805,275.59966774452823,276.01669240990304,275.58298586528616,None,AM04EN20b,1,0xC010,1,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1013,Resting,59.95105051654405,
2,0,2,0,,,,,,,,,,,276.1001092446659,336.10113080626707,336.0844506772739,None,336.61823262842154,396.6359489335882,336.61823262842154,396.6359489335882,396.6025848250556,397.0196097821381,396.5859044043547,None,AM04EN20b,1,0xC010,1,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1013,Resting,59.95105051654405,
3,0,3,0,,,,,,,,,,,397.1030228246973,457.10404555313016,457.0873636738881,None,457.6211514591969,517.6388359681869,457.6211514591969,517.6388359681869,517.605502780707,518.0225326968266,517.5888200263419,None,AM04EN20b,1,0xC010,1,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1013,Resting,59.95105051654405,
