OpenFirst.thisRepN,OpenFirst.thisTrialN,OpenFirst.thisN,OpenFirst.thisIndex,ClosedFirst.thisRepN,ClosedFirst.thisTrialN,ClosedFirst.thisN,ClosedFirst.thisIndex,Intro.started,Intro.stopped,text.started,text.stopped,cont.started,cont.stopped,blackback.started,blackback.stopped,text_4.started,text_4.stopped,flash.started,flash.stopped,sound_1.started,sound_1.stopped,text_3.started,text_3.stopped,sound_2.started,sound_2.stopped,participant,session,EEGPort,repetitionResting,LogFilesFolder,date,expName,frameRate,
,,,,0,0,0,0,5.695626100001391,8.70972189999884,8.659668299995246,None,8.659668299995246,None,25.64929420000408,85.66036550000717,25.64929420000408,85.66036550000717,85.64502209999773,86.05732649999845,85.64006002999812,None,86.14325229999667,146.15747200000624,146.14076273000828,None,IA6LI11,1,Serial_COM3,3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1257,Resting,59.95397932228129,
,,,,1,0,1,0,,,,,,,146.64895879999676,206.6624931999977,146.64895879999676,206.6624931999977,206.64589080000587,207.05810199999542,206.64098712999984,None,207.1435679999995,267.1591746000049,267.1416999299996,None,IA6LI11,1,Serial_COM3,3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1257,Resting,59.95397932228129,
,,,,2,0,2,0,,,,,,,267.6482437000086,327.6579036000039,267.6482437000086,327.6579036000039,327.6432232000079,328.05839760000526,327.64085253000815,None,328.1440753000061,388.1588394999999,388.1420537300015,None,IA6LI11,1,Serial_COM3,3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1257,Resting,59.95397932228129,
,,,,3,0,3,0,,,,,,,388.64880199999607,448.6621660999954,388.64880199999607,448.6621660999954,448.646169700005,449.0594567999942,448.6421253300083,None,449.14444920000096,509.1602242999943,509.1426046300054,None,IA6LI11,1,Serial_COM3,3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1257,Resting,59.95397932228129,
