OpenFirst.thisRepN,OpenFirst.thisTrialN,OpenFirst.thisN,OpenFirst.thisIndex,ClosedFirst.thisRepN,ClosedFirst.thisTrialN,ClosedFirst.thisN,ClosedFirst.thisIndex,Intro.started,Intro.stopped,text.started,text.stopped,cont.started,cont.stopped,text_3.started,text_3.stopped,sound_2.started,sound_2.stopped,blackback.started,blackback.stopped,text_4.started,text_4.stopped,flash.started,flash.stopped,sound_1.started,sound_1.stopped,participant,session,EEGPort,repetitionResting,LogFilesFolder,date,expName,frameRate,
0,0,0,0,,,,,5.677102000001469,8.691735200001858,8.64152269999613,None,8.64152269999613,None,46.75779899999907,106.77260679999017,106.75601738000114,None,107.26271969999652,167.27364390000002,107.26271969999652,167.27364390000002,167.25843699999677,167.67330789999687,167.2560808799899,None,IA6LI11,1,Serial_COM3,1,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1014,Resting,59.96807299742502,
1,0,1,0,,,,,,,,,,,167.75843119999627,227.7733533999999,227.75669407998794,None,228.2637032999919,288.277308299992,228.2637032999919,288.277308299992,288.24295580000035,288.65687379999144,288.2399840799917,None,IA6LI11,1,Serial_COM3,1,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1014,Resting,59.96807299742502,
2,0,2,0,,,,,,,,,,,288.74297749999096,348.7570989999949,348.7405818799889,None,349.24730229999113,409.25878509999893,349.24730229999113,409.25878509999893,409.24324630000046,409.65780889999587,409.24064387999533,None,IA6LI11,1,Serial_COM3,1,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1014,Resting,59.96807299742502,
3,0,3,0,,,,,,,,,,,409.7432145999919,469.7579890999914,469.74114447999455,None,470.24800849999883,530.2608305999893,470.24800849999883,530.2608305999893,530.2446957999928,530.6582265999896,530.2408552799898,None,IA6LI11,1,Serial_COM3,1,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1014,Resting,59.96807299742502,
