onset	duration	sample	trial_type	value	Event	Condition	Run
0.4980000000	4138001.0000000000	-0.5	n/a	xboundary	n/a	n/a	n/a
10079.9980000000	1.0000000000	10079	n/a	x31	Start_Resting	Open	3
40328.9980000000	1.0000000000	40328	n/a	x32	Start_Resting	Closed	3
70571.9980000000	1.0000000000	70571	n/a	x31	Start_Resting	Open	3
100819.9980000000	1.0000000000	100819	n/a	x32	Start_Resting	Closed	3
131067.9980000000	1.0000000000	131067	n/a	x31	Start_Resting	Open	3
161315.9980000000	1.0000000000	161315	n/a	x32	Start_Resting	Closed	3
191568.9980000000	1.0000000000	191568	n/a	x31	Start_Resting	Open	3
221816.9980000000	1.0000000000	221816	n/a	x32	Start_Resting	Closed	3
