onset	duration	sample	trial_type	value	Event	Condition	Run
0.4980000000	2113846.0000000000	-0.5	n/a	xboundary	n/a	n/a	n/a
10505.9980000000	1.0000000000	10505	n/a	x21	Start_Resting	Open	2
40753.9980000000	1.0000000000	40753	n/a	x22	Start_Resting	Closed	2
71001.9980000000	1.0000000000	71001	n/a	x21	Start_Resting	Open	2
101254.9980000000	1.0000000000	101254	n/a	x22	Start_Resting	Closed	2
131502.9980000000	1.0000000000	131502	n/a	x21	Start_Resting	Open	2
161750.9980000000	1.0000000000	161750	n/a	x22	Start_Resting	Closed	2
191998.9980000000	1.0000000000	191998	n/a	x21	Start_Resting	Open	2
222241.9980000000	1.0000000000	222241	n/a	x22	Start_Resting	Closed	2
