Bitte Teilen Sie nun den Betrag von 10 Credits auf, wie Sie ihn aufteilen würden, wenn der/die Empfänger/in darüber entscheiden kann, ob die Aufteilung zugeteilt wird.
Dabei haben Sie nur eine Aufteilung des Betrages, bis der/die Empfänger/in endgültig darüber entscheidet.
Dieses Angebot wird jedem/r Empfänger/in nur einmal vorgelegt.

Se können drei verschiedene Angebote machen:
(1) Sie bieten 1, und behalten 9 Credits.
(2) Sie bieten 5, und behalten 5 Credits.
(3) Sie bieten 3, und behalten 7 Credits.

Sie wählen Ihr Angebot mit der entsprechenden Taste (1, 2, 3) auf der Tastatur.

,Offer2,5,5,2,,,,,,,,,,,,,18,1,55,1,,,,,,,,,,,,,0.6793026017055719,405.52494760193986,None,5_5_V1.png,,,,,,,,,,,168,406.22554137368206,None,4,0.21986823547194945,406.22554137368206,None,406.22554137368206,None,None,None,406.4757551227576,None,406.4757551227576,None,None,None,None,None,None,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1223,UltimatumGame,2020.1.3,59.94884888112641,
,Offer2,5,5,2,,,,,,,,,,,,,18,2,56,1,,,,,,,,,,,,,0.5927003349409085,407.47661216101733,None,5_5_V1.png,,,,,,,,,,,173,408.09379347361573,None,4,0.2365863156846899,408.09379347361573,None,408.09379347361573,None,None,None,408.36069729892915,None,408.36069729892915,None,None,None,None,None,None,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1223,UltimatumGame,2020.1.3,59.94884888112641,
,Offer3,3,7,3,,,,,,,,,,,,,19,0,57,2,,,,,,,,,,,,,0.6498036898200301,409.36151233122837,None,7_3_V1.png,,,,,,,,,,,176,410.02880558679135,None,4,0.21854854824232461,410.02880558679135,None,410.02880558679135,None,None,None,410.2789895816459,None,410.2789895816459,None,None,None,None,None,None,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1223,UltimatumGame,2020.1.3,59.94884888112641,
,Offer1,1,9,1,,,,,,,,,,,,,19,1,58,0,,,,,,,,,,,,,0.6278977953727825,411.2798606218912,None,9_1_V1.png,,,,,,,,,,,177,411.9303934995769,None,4,0.20089437689057377,411.9303934995769,None,411.9303934995769,None,None,None,412.1639265070735,None,412.1639265070735,None,None,None,None,None,None,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1223,UltimatumGame,2020.1.3,59.94884888112641,
,Offer3,3,7,3,,,,,,,,,,,,,19,2,59,2,,,,,,,,,,,,,0.5984946469909127,413.16477654433766,None,7_3_V1.png,,,,,,,,,,,180,413.78197623454435,None,4,0.2342727791183279,413.78197623454435,None,413.78197623454435,None,None,None,414.0488613905418,None,414.0488613905418,None,None,None,None,None,None,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1223,UltimatumGame,2020.1.3,59.94884888112641,
,Offer3,3,7,3,,,,,,,,,,,,,20,0,60,2,,,,,,,,,,,,,0.5870950121000286,415.04971317805575,None,7_3_V1.png,,,,,,,,,,,183,415.66690528385334,None,4,0.19929844213402248,415.66690528385334,None,415.66690528385334,None,None,None,415.90043479085216,None,415.90043479085216,None,None,None,None,None,None,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1223,UltimatumGame,2020.1.3,59.94884888112641,
,Offer2,5,5,2,,,,,,,,,,,,,20,1,61,1,,,,,,,,,,,,,0.5175163243227398,416.9012906622793,None,5_5_V1.png,,,,,,,,,,,188,417.4350811021304,None,4,0.2810811283852672,417.4350811021304,None,417.4350811021304,None,None,None,417.7520084828702,None,417.7520084828702,None,None,None,None,None,None,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1223,UltimatumGame,2020.1.3,59.94884888112641,
,Offer3,3,7,3,,,,,,,,,,,,,20,2,62,2,,,,,,,,,,,,,0.5050671428779347,418.75286493771273,None,7_3_V1.png,,,,,,,,,,,191,419.28664983511226,None,4,0.23148405013307638,419.28664983511226,None,419.28664983511226,None,None,None,419.5535437423514,None,419.5535437423514,None,None,None,None,None,None,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1223,UltimatumGame,2020.1.3,59.94884888112641,
,Offer3,3,7,3,,,,,,,,,,,,,21,0,63,2,,,,,,,,,,,,,0.5088260012315015,420.55439640499026,None,7_3_V1.png,,,,,,,,,,,194,421.0881804272649,None,4,0.2009180052409647,421.0881804272649,None,421.0881804272649,None,None,None,421.3217119762194,None,421.3217119762194,None,None,None,None,None,None,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1223,UltimatumGame,2020.1.3,59.94884888112641,
,Offer2,5,5,2,,,,,,,,,,,,,21,1,64,1,,,,,,,,,,,,,0.6066933620043322,422.3225655139813,None,5_5_V1.png,,,,,,,,,,,199,422.9564380696502,None,4,0.2816222468227352,422.9564380696502,None,422.9564380696502,None,None,None,423.27337566017195,None,423.27337566017195,None,None,None,None,None,None,,,,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1223,UltimatumGame,2020.1.3,59.94884888112641,
