SubsetIndex,rep_Practice,ImageFilePrac,ColourPrac,CorrAnsPrac,TriggerConditionPrac,TriggerSpecificPrac,Primer,Condition,ImageFile,Colour,CorrAns,TriggerCondition,TriggerSpecific,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Practices.thisRepN,Practices.thisTrialN,Practices.thisN,Practices.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,CountdownLoop.thisRepN,CountdownLoop.thisTrialN,CountdownLoop.thisN,CountdownLoop.thisIndex,jitter,jitter_black,Fixation.started,Fixation.stopped,square1.started,square1.stopped,image_black_practice.started,image_black_practice.stopped,image_prompt_practice.started,image_prompt_practice.stopped,response_practice.keys,response_practice.corr,response_practice.rt,breakslide.keys,breakslide.rt,image_black.started,image_black.stopped,image_prompt.started,image_prompt.stopped,Response.keys,Response.corr,Response.started,Response.stopped,square2.started,square2.stopped,showReminder,Reminder_Errors_Resp.keys,Reminder_Errors_Resp.started,Reminder_Errors_Resp.stopped,Response.rt,break_slide.started,break_slide.stopped,participant,session,EEGPort,LogFilesFolder,date,expName,psychopyVersion,frameRate,
Subset1,5,PracticeStimuli/practice_green.png,green,1,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,2,2,10,2,,,,,,,,,1.1246823130703572,1.311863825020267,164.85952150000958,None,164.85952150000958,None,165.99692109999887,167.3107200000086,167.3107200000086,168.31156320001173,None,0,,,,,,,,,,,,,,,,,,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1149,Stroop,2020.1.3,59.774863951697725,
Subset1,5,PracticeStimuli/practice_red.png,red,2,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,2,3,11,1,,,,,,,,,1.280720883263091,1.3790810867249932,168.32912670000223,None,168.32912670000223,None,169.62160759999824,171.01334889999998,170.98018189999857,171.98131380000268,None,0,,,,,,,,,,,,,,,,,,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1149,Stroop,2020.1.3,59.774863951697725,
Subset1,5,PracticeStimuli/practice_green.png,green,1,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,3,0,12,2,,,,,,,,,1.0806925574833588,1.348586142670805,171.99890730000334,None,171.99890730000334,None,173.09103500000492,174.4500776000059,174.4168168000033,175.41751430000295,None,0,,,,,,,,,,,,,,,,,,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1149,Stroop,2020.1.3,59.774863951697725,
Subset1,5,PracticeStimuli/practice_yellow.png,yellow,3,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,3,1,13,3,,,,,,,,,1.0841538465249791,1.426790286758212,175.4352942000114,None,175.4352942000114,None,176.53128550000838,177.97000230000413,177.95294380000269,None,3,1,0.83709159999853,,,,,,,,,,,,,,,,,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1149,Stroop,2020.1.3,59.774863951697725,
Subset1,5,PracticeStimuli/practice_red.png,red,2,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,3,2,14,1,,,,,,,,,1.075748105859696,1.3628198112828602,178.82260150001093,None,178.82260150001093,None,179.91380560000835,181.2891529000044,181.25590820000798,182.2565314000094,None,0,,,,,,,,,,,,,,,,,,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1149,Stroop,2020.1.3,59.774863951697725,
Subset1,5,PracticeStimuli/practice_blue.png,blue,4,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,3,3,15,0,,,,,,,,,1.2113087837785963,1.0191972283809858,182.27394270000514,None,182.27394270000514,None,183.4999128000054,184.52540179999778,184.50843420000456,None,4,1,0.930805900003179,,,,,,,,,,,,,,,,,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1149,Stroop,2020.1.3,59.774863951697725,
Subset1,5,PracticeStimuli/practice_blue.png,blue,4,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,4,0,16,0,,,,,,,,,1.067982624953242,1.3830592734726563,185.4612485000107,None,185.4612485000107,None,186.55708860000595,187.94485980000172,187.92785960000765,None,4,1,0.5351918999949703,,,,,,,,,,,,,,,,,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1149,Stroop,2020.1.3,59.774863951697725,
Subset1,5,PracticeStimuli/practice_red.png,red,2,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,4,1,17,1,,,,,,,,,1.3601305652658515,1.1708548288707885,188.48037509999995,None,188.48037509999995,None,189.859881100012,191.03091529999801,191.01395600000978,None,2,1,0.8059402000071714,,,,,,,,,,,,,,,,,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1149,Stroop,2020.1.3,59.774863951697725,
Subset1,5,PracticeStimuli/practice_green.png,green,1,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,4,2,18,2,,,,,,,,,1.1751329817356198,1.1954365345890956,191.86070650001056,None,191.86070650001056,None,193.06105420000677,194.2671876000095,194.24995460000355,195.250626500012,None,0,,,,,,,,,,,,,,,,,,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1149,Stroop,2020.1.3,59.774863951697725,
Subset1,5,PracticeStimuli/practice_yellow.png,yellow,3,9,0,PracticeStimuli/practice_black.png,Scramble,,,,,,0,0,0,0,4,3,19,3,,,,,,,,,1.356104166787543,1.2922277354288676,195.26811800000723,None,195.26811800000723,None,196.64967490000708,197.95347170000605,197.93623980000848,None,3,1,0.3767399999924237,,,,,,,,,,,,,,,,,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1149,Stroop,2020.1.3,59.774863951697725,
