onset	duration	sample	trial_type	value	Event	Condition	Run
0.4980000000	153500.0000000000	-0.5	n/a	xboundary	n/a	n/a	n/a
27845.9980000000	1.0000000000	27845	n/a	x12	Start_Resting	Closed	1
58093.9980000000	1.0000000000	58093	n/a	x11	Start_Resting	Open	1
88341.9980000000	1.0000000000	88341	n/a	x12	Start_Resting	Closed	1
118594.9980000000	1.0000000000	118594	n/a	x11	Start_Resting	Open	1
148842.9980000000	1.0000000000	148842	n/a	x12	Start_Resting	Closed	1
179091.9980000000	1.0000000000	179091	n/a	x11	Start_Resting	Open	1
209342.9980000000	1.0000000000	209342	n/a	x12	Start_Resting	Closed	1
239592.9980000000	1.0000000000	239592	n/a	x11	Start_Resting	Open	1
